1;В 16 лет ума нет - не будет его и в 20, в 20 лет здоровья нет - не будет его и в 30, в 30 лет жены нет - не будет ее и в 40, в 40 лет счастья нет - не будет его и дальше.$Так выпьем же, друзья, за то, чтобы все приходило вовремя! 
1;В молодости кажется, что счастье впереди,$в старости кажется, что счастье позади.$А значит, самое лучшее - радоваться настоящему.$Да здравствуют друзья, вино и любовь!
1;Выпьем же за то, чтобы у нас все было, а нам за это ничего не было!
1;Давайте выпьем за бизнес и секс, что по-русски означает: за успехи в делах и счастье в личной жизни!
1;Давайте выпьем за то, что бы мы шли,на нас напали деньги и мы не могли от них отбиться!
1;Давайте выпьем за то, что бы у нас осталось столько горя, сколько капель останется в наших бокалах.
1;Женщина, думающая, что может обойтись без мужчины, сильно ошибается. Но мужчина, думающий, что женщина не может обойтись без него, ошибается еще больше. Вся наша беда в том, что мы не можем быть одни.$За наше счастье, заключающееся в том, что мы не умеем быть одни!
1;Жизнь - это постоянное преодоление времени, пространства, обстоятельств, препятствий, негатива.$Выпьем за минуты, когда жизнь не только не оказывает сопротивления, а еще и обворожительно улыбается!
1;Жизнь прекрасна даже тогда, когда по щекам текут слезы.$Так пусть по нашим щекам чаще текут слезы, но только слезы счастья!
1;За нее - за удачу! И за него - за успех!
1;Заходят как-то к физику Hильсону Бору гости и видят у него на дверях подкову.$"Вы разве верите в то, что подкова приносит удачу?" - спросили у него.$"Я не верю, но удача, кажется, верит!"$Выпьем за то, чтобы удача почаще приходила в наш дом!
1;Знаете, чем сказка отличается от были?$Сказка - это когда женился на лягушке, а она оказалась царевной. А быль - это когда наоборот.$Так давайте же выпьем за то, чтобы наша жизнь была похожа на сказку!
1;Каждый человек, живущий обычной жизнью, может быть счастливым не менее других.$За эту прекрасную возможность!
1;Как ты встретил меня с вином, так пусть видит тебя Бог - со счастьем и здоровьем!
1;Когда рождается человек, с неба спускается Бог и целует новорожденное чадо. Поцелует в голову - будет человек ученым или философом, поцелует в руку - будет мастером или музыкантом, поцелует в ногу - будет спортсменом или танцором.$Так выпьем же за то, чтобы при рождении наших детей, Бог никогда не целовал их в попку! 
1;Один человек женился. Через некоторое время после женитьбы встречается он с одним из своих приятелей. Тот, увидев, что друг очень опечален, говорит ему: "Я догадываюсь о причине твоей грусти. Ведь проходит двадцать восьмой день со времени твоей женитьбы..."$"Нет, меня печалит не двадцать восьмой день, а двадцать восьмая ночь..."$Так не будем печалиться, друзья, и выпьем за то, чтобы каждая ночь для нас была первой брачной! Счастья вам!
1;Пусть ваша жизнь будет чистой, как капля родниковой воды, а счастье игриво, как шампанское в хрустальном бокале!
1;Пьющие без меры - несчастны. Пьющие в меру - счастливы.$Выпьем за счастливых без меры!
1;Сколько волос у меня на голове, столько счастья и силы пусть будет у вас!
1;Счастлив не тот, кто ищет счастье, а тот, кого оно нашло.$За тех, кто находит собственное счастье в заботах о своей семье!
1;Счастье подобно шару, который подкатывается: сегодня под одного, завтра под другого, послезавтра под третьего, потом под четвертого, пятого и т.д., соответственно числу и очереди счастливых людей.$Выпьем за то, чтоб наш шар всегда был с нами!
1;Чего хочется, того почаще и побольше!
1;Человек - это птицелов. Гоняется он всю жизнь за птицей-счастьем, машет сачком, вот-вот поймает, а не тут-то было - упорхнула.$Выпьем за нашу удачу, хоть иногда пусть бьется в наших сачках птица-счастье
1;Я желаю всем здесь присутствующим легкого сердца и тяжелого кармана!
2;Все вы знаете легенду об Икаре. Давным-давно жил на свете Икар. И мечтал он взлететь как птица. Сделал Икар себе крылья из перьев и оторвался от грешной земли. Решил он подняться выше деревьев - и поднялся. Захотел влететь выше гор - и взлетел. Тогда захотел Икар взлететь выше Солнца, поднялся высоко-высоко почти к самому Солнцу, но растаял воск, которым были скреплены перья, Икар упал на землю и разбился. Я хочу пожелать нашему имениннику, чтобы: сбывалось все, о чем он мечтает, чтобы ему покорялись любые высоты и чтобы как высоко он не поднимался, никогда не падал бы на землю!
2;Все мы видели в ночном небе сияющие звезды. И вот несомненно, что наша именинница - одна из звезд, скатившихся с небосклона. Она освещает своей прелестью, очарованием, талантами, добротой и умом нашу жизнь.$Выпьем за то, чтобы ее звезда всегда сияла нам!
2;Дорогой N.! Пусть твоя жизнь будет безоблачной, как небо над пустыней, полной, как кувшин хлебосольного кавказца, долгой и интересной, как Млечный Путь и сериал "Санта - Барбара". И пусть всегда светятся счастьем твои глаза, как полярное сияние над полюсом!$Выпьем за это!
2;Дорогой сыночек! Сегодня на праздничном торте еще редкая рощица свечек.$Пожелаем же тебе, чтобы с каждой свечкой прибавлялся твой ум и твои познания. Будь счастлив!
2;Друзья! Сегодня мы празднуем день рождения нашего N. В наших руках бокалы с шампанским, и за столом царит веселье. Этот день когда-то подарил нам нашего друга. Он очень дорог нам, его сердце всегда с нами. Поэтому я от всей души и от имени всех твоих друзей, дорогой N., желаю тебе радости, чтобы она и впредь была спутницей твоей жизни.$За тебя!
2;Едет машина, шофер твердо держит руль, где нужно - повернет, где нужно - едет прямо, где обгонит, где притормозит.$Пожелаем нашему имениннику, чтобы он также твердо держал руль своей жизни в руках. Где нужно - ускорял, где тормозил, и чтобы не заносило на поворотах, не летел в кювет, и чтобы мотор и прочие узлы работали надежно!
2;Жизнь - это слалом, где приходится лавировать между различными обстоятельствами и сталкивающимися интересами, особенно таким деловым людям, как Вы.$Пожелаем Вам надежных партнеров, вечных спонсоров, выгодной конъюнктуры и удачного слалома!
2;За тебя, сын, хочу поднять бокал, и пожелать тебе больше слушать, чем говорить, чтобы ты помнил, что быка берут за рога, а человека ловят на слове, чтобы ты в глаза не льстил, а за глаза не бранил!
2;Какое может быть самое лучше пожелание? Это, прежде всего, пожелание здоровья души и тела, пожелание, чтобы в сердце всегда цвела любовь и звучал праздник.$Так давайте же поднимем бокалы и пожелаем всего этого нашему дорогому N.!
2;Когда хотят дать высшую оценку человеческим взаимоотношениям, говорят "братские". Есть города-побратимы, есть союзы, называемые "братствами". То есть выше наших с тобой отношений - только небо... Поэтому, поздравляя тебя, я ничего не могу пожелать, поскольку у тебя есть все - то есть я. Скажу больше - это одно и то же. А что себе пожелаешь? Хорошего брата и чуть-чуть удачи!..$В день именин в подарок брату$Готов отдать хоть всю зарплату.$Хоть эта самая зарплата$Исамому мне... маловата.$Но те подарки хороши,$Что в счет не денег, а души!.
2;Многоуважаемый N.! О Вас хочется говорить добрыми и простыми словами. Мы все Вас очень любим. Живите долго, счастливо, спокойно, умно, вне возраста. Приглашайте нас почаще в гости и завораживайте своим внутренним богатством!$Многие лета!
